algos	auc	nalgo	pr
Ardavel:gardn999:mvaudel	0.938252994115106	3	0.836794275196848
Ardavel:gardn999:Ramzes2	0.942745329360672	3	0.843943530802499
Ardavel:gardn999:vladaburian	0.941104335546695	3	0.845810556195054
Ardavel:LastEmperor:mkagenius	0.938579276727854	3	0.838144340495532
Ardavel:LastEmperor:mvaudel	0.935288565392009	3	0.829885849194997
Ardavel:LastEmperor:Ramzes2	0.941240428652125	3	0.84132380477186
Ardavel:LastEmperor:vladaburian	0.9393335553857	3	0.840702539657172
Ardavel:mkagenius:mvaudel	0.935777592795589	3	0.820612946887746
Ardavel:mkagenius:Ramzes2	0.941033211818728	3	0.820471221170959
Ardavel:mkagenius:vladaburian	0.938779466950071	3	0.828938288333164
Ardavel:mvaudel:Ramzes2	0.93821625187941	3	0.82527828868248
Ardavel:mvaudel:vladaburian	0.935790063608518	3	0.823522425246011
Ardavel:Ramzes2:vladaburian	0.940717068829237	3	0.8342723987362
balajipro:benchmark:gardn999	0.936131243021121	3	0.836324017048092
balajipro:benchmark:LastEmperor	0.930665750285925	3	0.823482966977187
balajipro:benchmark:mkagenius	0.935081864807912	3	0.810484864680774
balajipro:benchmark:mvaudel	0.932030994662158	3	0.82064466514495
balajipro:benchmark:Ramzes2	0.936744803946869	3	0.812294985414791
balajipro:benchmark:vladaburian	0.93343607509422	3	0.819864636774657
balajipro:gardn999:LastEmperor	0.931358621617183	3	0.825871253289168
balajipro:gardn999:mkagenius	0.937613499132775	3	0.839039592404939
balajipro:gardn999:mvaudel	0.934380439462105	3	0.834018398152792
balajipro:gardn999:Ramzes2	0.939786433045843	3	0.841891665266217
balajipro:gardn999:vladaburian	0.938808515426692	3	0.843023758689889
balajipro:LastEmperor:mkagenius	0.932206612295702	3	0.826667202202951
balajipro:LastEmperor:mvaudel	0.928725692696771	3	0.821760047039864
balajipro:LastEmperor:Ramzes2	0.933751327819909	3	0.829422970954592
balajipro:LastEmperor:vladaburian	0.932546745384305	3	0.827324619559406
balajipro:mkagenius:mvaudel	0.933892930152066	3	0.822362321834215
balajipro:mkagenius:Ramzes2	0.939042297257954	3	0.818271092107334
balajipro:mkagenius:vladaburian	0.937185851567471	3	0.828185075899241
balajipro:mvaudel:Ramzes2	0.936150817592457	3	0.825409255644785
balajipro:mvaudel:vladaburian	0.933718711022181	3	0.824872563613451
balajipro:Ramzes2:vladaburian	0.940505471841628	3	0.8375417437948
benchmark:gardn999:LastEmperor	0.934865233844479	3	0.832150781581844
benchmark:gardn999:mkagenius	0.936159137828371	3	0.814030733418145
benchmark:gardn999:mvaudel	0.935414401712773	3	0.827445712886162
benchmark:gardn999:Ramzes2	0.937455388038051	3	0.814513592966013
benchmark:gardn999:vladaburian	0.934170100476194	3	0.821647263292849
benchmark:LastEmperor:mkagenius	0.93495008294813	3	0.809141167598879
benchmark:LastEmperor:mvaudel	0.933850506452997	3	0.821981832153799
benchmark:LastEmperor:Ramzes2	0.936662205809032	3	0.811561114094237
benchmark:LastEmperor:vladaburian	0.933553082590795	3	0.819017933407132
benchmark:mkagenius:mvaudel	0.934066300797381	3	0.802345925146534
benchmark:mkagenius:Ramzes2	0.936633302903979	3	0.800810167656058
benchmark:mkagenius:vladaburian	0.933410396727049	3	0.799019349245016
benchmark:mvaudel:Ramzes2	0.935382655871877	3	0.801665178366338
benchmark:mvaudel:vladaburian	0.932307018205072	3	0.81065858243816
benchmark:Ramzes2:vladaburian	0.934407781113952	3	0.800447317269439
gardn999:LastEmperor:mkagenius	0.936083794805315	3	0.833627714178212
gardn999:LastEmperor:mvaudel	0.935525997480624	3	0.834241692649083
gardn999:LastEmperor:Ramzes2	0.93791834093389	3	0.837231665904283
gardn999:LastEmperor:vladaburian	0.937510085322215	3	0.838631987235954
gardn999:mkagenius:mvaudel	0.937905851133924	3	0.829727127076273
gardn999:mkagenius:Ramzes2	0.940125075033422	3	0.821002015025787
gardn999:mkagenius:vladaburian	0.938773593522861	3	0.831366029326927
gardn999:mvaudel:Ramzes2	0.940832208429584	3	0.834200097340352
gardn999:mvaudel:vladaburian	0.938349137911885	3	0.833985352487078
gardn999:Ramzes2:vladaburian	0.940575739819572	3	0.836599646112478
LastEmperor:mkagenius:mvaudel	0.936332302525912	3	0.825316484322911
LastEmperor:mkagenius:Ramzes2	0.938846904245672	3	0.816921371488126
LastEmperor:mkagenius:vladaburian	0.937272948444923	3	0.827181778747422
LastEmperor:mvaudel:Ramzes2	0.938876802444747	3	0.828914397643056
LastEmperor:mvaudel:vladaburian	0.936006291310794	3	0.827635556323458
LastEmperor:Ramzes2:vladaburian	0.940402271115362	3	0.8364426483071
mkagenius:mvaudel:Ramzes2	0.937914505964204	3	0.805581357135072
mkagenius:mvaudel:vladaburian	0.9360521497578	3	0.816525132959466
mkagenius:Ramzes2:vladaburian	0.938913864882127	3	0.808331224919644
mvaudel:Ramzes2:vladaburian	0.938165141421459	3	0.821756159480349
AliGebily:Ardavel:balajipro:benchmark	0.939646520575455	4	0.830046727513066
AliGebily:Ardavel:balajipro:gardn999	0.941929228419298	4	0.848479966948088
AliGebily:Ardavel:balajipro:LastEmperor	0.939386553307036	4	0.843190542661696
AliGebily:Ardavel:balajipro:mkagenius	0.940514536855278	4	0.833973609094607
AliGebily:Ardavel:balajipro:mvaudel	0.939029326877988	4	0.838515049076552
AliGebily:Ardavel:balajipro:Ramzes2	0.942312817263119	4	0.832819821442703
AliGebily:Ardavel:balajipro:vladaburian	0.941588526860974	4	0.845779487743464
AliGebily:Ardavel:benchmark:gardn999	0.940362339739578	4	0.831206054348207
AliGebily:Ardavel:benchmark:LastEmperor	0.940228911556238	4	0.830203099998039
AliGebily:Ardavel:benchmark:mkagenius	0.939410596248415	4	0.816526157881589
AliGebily:Ardavel:benchmark:mvaudel	0.938341855647603	4	0.821300595848518
AliGebily:Ardavel:benchmark:Ramzes2	0.940086564188109	4	0.815591850117233
AliGebily:Ardavel:benchmark:vladaburian	0.938356137089635	4	0.821579263262445
AliGebily:Ardavel:gardn999:LastEmperor	0.941737803670171	4	0.846899723129838
AliGebily:Ardavel:gardn999:mkagenius	0.941789771328701	4	0.835914952605275
AliGebily:Ardavel:gardn999:mvaudel	0.941873788401904	4	0.843361120020277
AliGebily:Ardavel:gardn999:Ramzes2	0.942413047409899	4	0.832486689213283
AliGebily:Ardavel:gardn999:vladaburian	0.942452375385234	4	0.846715729509776
AliGebily:Ardavel:LastEmperor:mkagenius	0.941084699483647	4	0.833744670879506
AliGebily:Ardavel:LastEmperor:mvaudel	0.94067726105582	4	0.840367032639211
AliGebily:Ardavel:LastEmperor:Ramzes2	0.94263961838565	4	0.832501762554587
AliGebily:Ardavel:LastEmperor:vladaburian	0.942324957655401	4	0.845692521916358
AliGebily:Ardavel:mkagenius:mvaudel	0.939311636445099	4	0.824482746340658
AliGebily:Ardavel:mkagenius:Ramzes2	0.941443507630987	4	0.818074764369813
AliGebily:Ardavel:mkagenius:vladaburian	0.940487432434374	4	0.827861043284321
AliGebily:Ardavel:mvaudel:Ramzes2	0.941004805905284	4	0.824536939002065
AliGebily:Ardavel:mvaudel:vladaburian	0.940072049778726	4	0.835326790854016
AliGebily:Ardavel:Ramzes2:vladaburian	0.941523981030189	4	0.827031634055941
AliGebily:balajipro:benchmark:gardn999	0.938773510278138	4	0.829571586539522
AliGebily:balajipro:benchmark:LastEmperor	0.937049998859997	4	0.825618086512514
AliGebily:balajipro:benchmark:mkagenius	0.93803439880964	4	0.814801459404543
AliGebily:balajipro:benchmark:mvaudel	0.937079702465596	4	0.821552484530831
AliGebily:balajipro:benchmark:Ramzes2	0.939238243105674	4	0.814897170676013
AliGebily:balajipro:benchmark:vladaburian	0.937460669087623	4	0.821451543938813
AliGebily:balajipro:gardn999:LastEmperor	0.937694509501528	4	0.84044283263465
AliGebily:balajipro:gardn999:mkagenius	0.940151815937044	4	0.834716045751789
AliGebily:balajipro:gardn999:mvaudel	0.940423927619283	4	0.844120437753822
AliGebily:balajipro:gardn999:Ramzes2	0.941190780557493	4	0.832103082056517
AliGebily:balajipro:gardn999:vladaburian	0.941341608363726	4	0.847483763824212
AliGebily:balajipro:LastEmperor:mkagenius	0.937829975604699	4	0.829358483257794
AliGebily:balajipro:LastEmperor:mvaudel	0.937662694912443	4	0.838094386689676
AliGebily:balajipro:LastEmperor:Ramzes2	0.939979995587744	4	0.830103926689046
AliGebily:balajipro:LastEmperor:vladaburian	0.939807721389607	4	0.843497448933442
AliGebily:balajipro:mkagenius:mvaudel	0.937879076051538	4	0.824571202167208
AliGebily:balajipro:mkagenius:Ramzes2	0.940560110784479	4	0.817483988651479
AliGebily:balajipro:mkagenius:vladaburian	0.939619225130141	4	0.827680956588544
AliGebily:balajipro:mvaudel:Ramzes2	0.940232569750863	4	0.825191859331989
AliGebily:balajipro:mvaudel:vladaburian	0.939410333299982	4	0.837266540777572
AliGebily:balajipro:Ramzes2:vladaburian	0.941301754094628	4	0.828298734635607
AliGebily:benchmark:gardn999:LastEmperor	0.938317617968704	4	0.827055730298118
AliGebily:benchmark:gardn999:mkagenius	0.9384585156574	4	0.816170748770268
AliGebily:benchmark:gardn999:mvaudel	0.938580613489311	4	0.825286003241556
AliGebily:benchmark:gardn999:Ramzes2	0.938933031349465	4	0.814431308278349
AliGebily:benchmark:gardn999:vladaburian	0.93775546133533	4	0.821846318103192
AliGebily:benchmark:LastEmperor:mkagenius	0.93806863786396	4	0.813953074848215
AliGebily:benchmark:LastEmperor:mvaudel	0.938039383544156	4	0.822190704017444
AliGebily:benchmark:LastEmperor:Ramzes2	0.939175155045794	4	0.814039176948943
AliGebily:benchmark:LastEmperor:vladaburian	0.937741403067024	4	0.820776677206586
AliGebily:benchmark:mkagenius:mvaudel	0.937055628639065	4	0.808289883715005
AliGebily:benchmark:mkagenius:Ramzes2	0.938443114048425	4	0.804440971326562
AliGebily:benchmark:mkagenius:vladaburian	0.936926336568345	4	0.80684269249828
AliGebily:benchmark:mvaudel:Ramzes2	0.938237752070432	4	0.808566619125011
AliGebily:benchmark:mvaudel:vladaburian	0.936536277454852	4	0.814902017097565
AliGebily:benchmark:Ramzes2:vladaburian	0.937789247545234	4	0.807258629757845
AliGebily:gardn999:LastEmperor:mkagenius	0.939526331778746	4	0.831584281253168
AliGebily:gardn999:LastEmperor:mvaudel	0.940600411692307	4	0.843220978045309
AliGebily:gardn999:LastEmperor:Ramzes2	0.940716997069762	4	0.830019552413073
AliGebily:gardn999:LastEmperor:vladaburian	0.941061183166193	4	0.844864264218497
AliGebily:gardn999:mkagenius:mvaudel	0.940146204037163	4	0.829298069495712
AliGebily:gardn999:mkagenius:Ramzes2	0.940546680129503	4	0.817390482653662
AliGebily:gardn999:mkagenius:vladaburian	0.940177950153023	4	0.828707822215482
AliGebily:gardn999:mvaudel:Ramzes2	0.941204967197464	4	0.827238971687356
AliGebily:gardn999:mvaudel:vladaburian	0.941031783207039	4	0.840474228558775
AliGebily:gardn999:Ramzes2:vladaburian	0.940941672990064	4	0.827079492347161
AliGebily:LastEmperor:mkagenius:mvaudel	0.938858131271332	4	0.825281536236172
AliGebily:LastEmperor:mkagenius:Ramzes2	0.940497734781691	4	0.81646635879277
AliGebily:LastEmperor:mkagenius:vladaburian	0.939792091098393	4	0.826959096009124
AliGebily:LastEmperor:mvaudel:Ramzes2	0.941024994872667	4	0.825814919924147
AliGebily:LastEmperor:mvaudel:vladaburian	0.940469202666872	4	0.837936285696935
AliGebily:LastEmperor:Ramzes2:vladaburian	0.941397072851609	4	0.827362922380117
AliGebily:mkagenius:mvaudel:Ramzes2	0.939638089625755	4	0.810131577657226
AliGebily:mkagenius:mvaudel:vladaburian	0.938594887515402	4	0.819730010917295
AliGebily:mkagenius:Ramzes2:vladaburian	0.939865346067053	4	0.81040376447775
AliGebily:mvaudel:Ramzes2:vladaburian	0.939933918086006	4	0.82031909915422
Ardavel:balajipro:benchmark:gardn999	0.939548939570821	4	0.843812289431064
Ardavel:balajipro:benchmark:LastEmperor	0.936898391311209	4	0.837614197964055
Ardavel:balajipro:benchmark:mkagenius	0.938447209681243	4	0.828493204061136
Ardavel:balajipro:benchmark:mvaudel	0.9365393792765	4	0.833015374068067
Ardavel:balajipro:benchmark:Ramzes2	0.940450984985328	4	0.829098251728596
Ardavel:balajipro:benchmark:vladaburian	0.93855217361959	4	0.837001260286478
Ardavel:balajipro:gardn999:LastEmperor	0.936816437544867	4	0.839322763825724
Ardavel:balajipro:gardn999:mkagenius	0.940374280353037	4	0.845783622418028
Ardavel:balajipro:gardn999:mvaudel	0.938733106148779	4	0.842066485264421
Ardavel:balajipro:gardn999:Ramzes2	0.942765555371539	4	0.848475489305672
Ardavel:balajipro:gardn999:vladaburian	0.941339275511892	4	0.848746614061607
Ardavel:balajipro:LastEmperor:mkagenius	0.937528285533	4	0.839104749378001
Ardavel:balajipro:LastEmperor:mvaudel	0.935947829808424	4	0.835901309390989
Ardavel:balajipro:LastEmperor:Ramzes2	0.940023965690241	4	0.842766428690013
Ardavel:balajipro:LastEmperor:vladaburian	0.938785174203283	4	0.842003246594468
Ardavel:balajipro:mkagenius:mvaudel	0.937241840405207	4	0.833640792933405
Ardavel:balajipro:mkagenius:Ramzes2	0.941431262853857	4	0.833116541577594
Ardavel:balajipro:mkagenius:vladaburian	0.939863989640676	4	0.840627280518768
Ardavel:balajipro:mvaudel:Ramzes2	0.939366011889382	4	0.836967287815689
Ardavel:balajipro:mvaudel:vladaburian	0.937905795807403	4	0.83629349602843
Ardavel:balajipro:Ramzes2:vladaburian	0.942289408289228	4	0.844574758886837
Ardavel:benchmark:gardn999:LastEmperor	0.939388492025805	4	0.842150383124991
Ardavel:benchmark:gardn999:mkagenius	0.940036869944705	4	0.831537997507745
Ardavel:benchmark:gardn999:mvaudel	0.939273085346299	4	0.838331875468763
Ardavel:benchmark:gardn999:Ramzes2	0.941380356088846	4	0.830769932330424
Ardavel:benchmark:gardn999:vladaburian	0.93949670704724	4	0.83884912247758
Ardavel:benchmark:LastEmperor:mkagenius	0.938855002138104	4	0.828501112316832
Ardavel:benchmark:LastEmperor:mvaudel	0.937927663446086	4	0.834631337508123
Ardavel:benchmark:LastEmperor:Ramzes2	0.940773826340065	4	0.828913397365969
Ardavel:benchmark:LastEmperor:vladaburian	0.939130236653618	4	0.837227987621292
Ardavel:benchmark:mkagenius:mvaudel	0.937328586926006	4	0.818455847869473
Ardavel:benchmark:mkagenius:Ramzes2	0.940271486864379	4	0.816576551893184
Ardavel:benchmark:mkagenius:vladaburian	0.938012214651677	4	0.819898103238446
Ardavel:benchmark:mvaudel:Ramzes2	0.939081390456868	4	0.820177840732615
Ardavel:benchmark:mvaudel:vladaburian	0.937089857834154	4	0.8264525626081
Ardavel:benchmark:Ramzes2:vladaburian	0.93915753902723	4	0.820500935031513
Ardavel:gardn999:LastEmperor:mkagenius	0.940167512406649	4	0.843548646280241
Ardavel:gardn999:LastEmperor:mvaudel	0.939741737275531	4	0.842793399605829
Ardavel:gardn999:LastEmperor:Ramzes2	0.942303656755986	4	0.846414186822447
Ardavel:gardn999:LastEmperor:vladaburian	0.941290134401782	4	0.84709801585875
Ardavel:gardn999:mkagenius:mvaudel	0.940382134099341	4	0.8391662199035
Ardavel:gardn999:mkagenius:Ramzes2	0.942718894135247	4	0.835451404847741
Ardavel:gardn999:mkagenius:vladaburian	0.941401852384424	4	0.843034061659721
Ardavel:gardn999:mvaudel:Ramzes2	0.942524613131754	4	0.842343441990932
Ardavel:gardn999:mvaudel:vladaburian	0.940889551284157	4	0.841815362818653
Ardavel:gardn999:Ramzes2:vladaburian	0.943265122858774	4	0.846047034300344
Ardavel:LastEmperor:mkagenius:mvaudel	0.938820529895369	4	0.83549925250525
Ardavel:LastEmperor:mkagenius:Ramzes2	0.941688487643656	4	0.832471126818904
Ardavel:LastEmperor:mkagenius:vladaburian	0.940384593453334	4	0.840501330701615
Ardavel:LastEmperor:mvaudel:Ramzes2	0.940983529036791	4	0.838859593898564
Ardavel:LastEmperor:mvaudel:vladaburian	0.939452447453773	4	0.83805826325348
Ardavel:LastEmperor:Ramzes2:vladaburian	0.942695022620625	4	0.844583609716856
Ardavel:mkagenius:mvaudel:Ramzes2	0.940099919627407	4	0.822956668122037
Ardavel:mkagenius:mvaudel:vladaburian	0.93854493101537	4	0.829357877044592
Ardavel:mkagenius:Ramzes2:vladaburian	0.941304241010471	4	0.826366001794101
Ardavel:mvaudel:Ramzes2:vladaburian	0.940555906658467	4	0.83357100354255
balajipro:benchmark:gardn999:LastEmperor	0.935686367788488	4	0.835673539592946
balajipro:benchmark:gardn999:mkagenius	0.937914041569152	4	0.828425644537069
balajipro:benchmark:gardn999:mvaudel	0.93723894950107	4	0.836782947681341
balajipro:benchmark:gardn999:Ramzes2	0.939813109567132	4	0.829177282369094
balajipro:benchmark:gardn999:vladaburian	0.938097241617124	4	0.837902571880476
balajipro:benchmark:LastEmperor:mkagenius	0.935725384594208	4	0.823325258070736
balajipro:benchmark:LastEmperor:mvaudel	0.935091623969363	4	0.831603588722959
balajipro:benchmark:LastEmperor:Ramzes2	0.937826876805208	4	0.824796806210691
balajipro:benchmark:LastEmperor:vladaburian	0.93654464831894	4	0.833510396470137
balajipro:benchmark:mkagenius:mvaudel	0.935713000537541	4	0.81784322379479
balajipro:benchmark:mkagenius:Ramzes2	0.938838008431156	4	0.814691076073432
balajipro:benchmark:mkagenius:vladaburian	0.936706601058833	4	0.818481624139445
balajipro:benchmark:mvaudel:Ramzes2	0.937798252134367	4	0.819632475223233
balajipro:benchmark:mvaudel:vladaburian	0.935792503565526	4	0.827242727877534
balajipro:benchmark:Ramzes2:vladaburian	0.938360068524679	4	0.820601325300824
balajipro:gardn999:LastEmperor:mkagenius	0.936124159237486	4	0.836100049588035
balajipro:gardn999:LastEmperor:mvaudel	0.935227585171748	4	0.835155415119192
balajipro:gardn999:LastEmperor:Ramzes2	0.938158271069179	4	0.840552504840002
balajipro:gardn999:LastEmperor:vladaburian	0.937466422089906	4	0.839685172912729
balajipro:gardn999:mkagenius:mvaudel	0.93828978691319	4	0.838218535313253
balajipro:gardn999:mkagenius:Ramzes2	0.940966340154624	4	0.833840798975241
balajipro:gardn999:mkagenius:vladaburian	0.940119812319838	4	0.842298078222055
balajipro:gardn999:mvaudel:Ramzes2	0.940972015276243	4	0.842496145881324
balajipro:gardn999:mvaudel:vladaburian	0.93914678818505	4	0.841991784879797
balajipro:gardn999:Ramzes2:vladaburian	0.942243025807165	4	0.847075655422607
balajipro:LastEmperor:mkagenius:mvaudel	0.936117646403775	4	0.833366730044415
balajipro:LastEmperor:mkagenius:Ramzes2	0.938537004545444	4	0.828185092328015
balajipro:LastEmperor:mkagenius:vladaburian	0.937702158360276	4	0.837011292119421
balajipro:LastEmperor:mvaudel:Ramzes2	0.938166393244695	4	0.83642430528781
balajipro:LastEmperor:mvaudel:vladaburian	0.936580534074744	4	0.835484638284124
balajipro:LastEmperor:Ramzes2:vladaburian	0.940485875430892	4	0.842892152530839
balajipro:mkagenius:mvaudel:Ramzes2	0.938752192992633	4	0.822212348337686
balajipro:mkagenius:mvaudel:vladaburian	0.937269749421583	4	0.829781463784797
balajipro:mkagenius:Ramzes2:vladaburian	0.940605812003216	4	0.826562634597396
balajipro:mvaudel:Ramzes2:vladaburian	0.939996148325989	4	0.835393963206459
benchmark:gardn999:LastEmperor:mkagenius	0.937405560022923	4	0.825979105022997
benchmark:gardn999:LastEmperor:mvaudel	0.937600239448323	4	0.835722834373894
benchmark:gardn999:LastEmperor:Ramzes2	0.939284230797301	4	0.82697728681065
benchmark:gardn999:LastEmperor:vladaburian	0.937914835622348	4	0.836109821966802
benchmark:gardn999:mkagenius:mvaudel	0.937672672046391	4	0.822461007888291
benchmark:gardn999:mkagenius:Ramzes2	0.939441139096022	4	0.816615566480533
benchmark:gardn999:mkagenius:vladaburian	0.937530953334015	4	0.820528373080023
benchmark:gardn999:mvaudel:Ramzes2	0.939549639636639	4	0.823812900481621
benchmark:gardn999:mvaudel:vladaburian	0.937406292359665	4	0.830812909379191
benchmark:gardn999:Ramzes2:vladaburian	0.938999482193634	4	0.821673322432611
benchmark:LastEmperor:mkagenius:mvaudel	0.936524720281327	4	0.818526097335181
benchmark:LastEmperor:mkagenius:Ramzes2	0.938768670806701	4	0.813894143795882
benchmark:LastEmperor:mkagenius:vladaburian	0.936733309562542	4	0.817618203774464
benchmark:LastEmperor:mvaudel:Ramzes2	0.938606616063706	4	0.820205173929984
benchmark:LastEmperor:mvaudel:vladaburian	0.93657966308982	4	0.827434871541885
benchmark:LastEmperor:Ramzes2:vladaburian	0.938570942001279	4	0.820098687299463
